# STEP golden vectors — mesh spec step-mesh-v1
# columns: name	lat_deg	lon_deg	level	triangle_id
# DO NOT EDIT BY HAND; regenerate via golden-gen on spec change only
budapest	47.4979000	19.0402000	1	1
budapest	47.4979000	19.0402000	2	1.2
budapest	47.4979000	19.0402000	5	1.2.3.3.1
budapest	47.4979000	19.0402000	10	1.2.3.3.1.4.4.1.3.4
budapest	47.4979000	19.0402000	15	1.2.3.3.1.4.4.1.3.4.3.1.3.1.2
budapest	47.4979000	19.0402000	21	1.2.3.3.1.4.4.1.3.4.3.1.3.1.2.4.2.2.2.4.3
london	51.5074000	-0.1278000	1	5
london	51.5074000	-0.1278000	2	5.3
london	51.5074000	-0.1278000	5	5.3.2.1.3
london	51.5074000	-0.1278000	10	5.3.2.1.3.1.2.3.1.2
london	51.5074000	-0.1278000	15	5.3.2.1.3.1.2.3.1.2.2.2.3.4.4
london	51.5074000	-0.1278000	21	5.3.2.1.3.1.2.3.1.2.2.2.3.4.4.2.2.3.4.4.4
new_york	40.7128000	-74.0060000	1	4
new_york	40.7128000	-74.0060000	2	4.3
new_york	40.7128000	-74.0060000	5	4.3.1.2.1
new_york	40.7128000	-74.0060000	10	4.3.1.2.1.4.1.4.3.3
new_york	40.7128000	-74.0060000	15	4.3.1.2.1.4.1.4.3.3.3.1.4.4.3
new_york	40.7128000	-74.0060000	21	4.3.1.2.1.4.1.4.3.3.3.1.4.4.3.2.1.2.4.3.2
tokyo	35.6762000	139.6503000	1	2
tokyo	35.6762000	139.6503000	2	2.3
tokyo	35.6762000	139.6503000	5	2.3.1.2.3
tokyo	35.6762000	139.6503000	10	2.3.1.2.3.3.1.1.4.1
tokyo	35.6762000	139.6503000	15	2.3.1.2.3.3.1.1.4.1.1.3.3.3.1
tokyo	35.6762000	139.6503000	21	2.3.1.2.3.3.1.1.4.1.1.3.3.3.1.3.1.1.4.3.1
sydney	-33.8688000	151.2093000	1	17
sydney	-33.8688000	151.2093000	2	17.3
sydney	-33.8688000	151.2093000	5	17.3.2.1.3
sydney	-33.8688000	151.2093000	10	17.3.2.1.3.3.4.2.2.1
sydney	-33.8688000	151.2093000	15	17.3.2.1.3.3.4.2.2.1.1.3.3.2.1
sydney	-33.8688000	151.2093000	21	17.3.2.1.3.3.4.2.2.1.1.3.3.2.1.4.2.2.4.1.2
san_francisco	37.7749000	-122.4194000	1	4
san_francisco	37.7749000	-122.4194000	2	4.2
san_francisco	37.7749000	-122.4194000	5	4.2.2.4.2
san_francisco	37.7749000	-122.4194000	10	4.2.2.4.2.1.4.2.4.4
san_francisco	37.7749000	-122.4194000	15	4.2.2.4.2.1.4.2.4.4.3.1.3.4.4
san_francisco	37.7749000	-122.4194000	21	4.2.2.4.2.1.4.2.4.4.3.1.3.4.4.2.2.3.1.3.4
rio	-22.9068000	-43.1729000	1	14
rio	-22.9068000	-43.1729000	2	14.2
rio	-22.9068000	-43.1729000	5	14.2.1.4.1
rio	-22.9068000	-43.1729000	10	14.2.1.4.1.3.3.3.3.3
rio	-22.9068000	-43.1729000	15	14.2.1.4.1.3.3.3.3.3.2.4.3.2.1
rio	-22.9068000	-43.1729000	21	14.2.1.4.1.3.3.3.3.3.2.4.3.2.1.2.2.4.2.2.4
cape_town	-33.9249000	18.4241000	1	20
cape_town	-33.9249000	18.4241000	2	20.3
cape_town	-33.9249000	18.4241000	5	20.3.4.1.1
cape_town	-33.9249000	18.4241000	10	20.3.4.1.1.2.4.1.3.2
cape_town	-33.9249000	18.4241000	15	20.3.4.1.1.2.4.1.3.2.2.3.3.1.2
cape_town	-33.9249000	18.4241000	21	20.3.4.1.1.2.4.1.3.2.2.3.3.1.2.3.2.1.1.3.1
reykjavik	64.1466000	-21.9426000	1	5
reykjavik	64.1466000	-21.9426000	2	5.1
reykjavik	64.1466000	-21.9426000	5	5.1.3.3.2
reykjavik	64.1466000	-21.9426000	10	5.1.3.3.2.4.2.4.1.3
reykjavik	64.1466000	-21.9426000	15	5.1.3.3.2.4.2.4.1.3.4.2.1.3.2
reykjavik	64.1466000	-21.9426000	21	5.1.3.3.2.4.2.4.1.3.4.2.1.3.2.3.1.3.1.4.2
singapore	1.3521000	103.8198000	1	7
singapore	1.3521000	103.8198000	2	7.4
singapore	1.3521000	103.8198000	5	7.4.1.2.4
singapore	1.3521000	103.8198000	10	7.4.1.2.4.3.4.1.2.3
singapore	1.3521000	103.8198000	15	7.4.1.2.4.3.4.1.2.3.2.4.3.1.2
singapore	1.3521000	103.8198000	21	7.4.1.2.4.3.4.1.2.3.2.4.3.1.2.4.2.1.4.4.1
auckland	-36.8485000	174.7633000	1	17
auckland	-36.8485000	174.7633000	2	17.3
auckland	-36.8485000	174.7633000	5	17.3.1.3.3
auckland	-36.8485000	174.7633000	10	17.3.1.3.3.3.3.2.2.1
auckland	-36.8485000	174.7633000	15	17.3.1.3.3.3.3.2.2.1.4.4.3.4.2
auckland	-36.8485000	174.7633000	21	17.3.1.3.3.3.3.2.2.1.4.4.3.4.2.3.1.4.1.3.1
anchorage	61.2181000	-149.9003000	1	3
anchorage	61.2181000	-149.9003000	2	3.1
anchorage	61.2181000	-149.9003000	5	3.1.3.1.4
anchorage	61.2181000	-149.9003000	10	3.1.3.1.4.3.2.3.3.2
anchorage	61.2181000	-149.9003000	15	3.1.3.1.4.3.2.3.3.2.4.4.3.1.4
anchorage	61.2181000	-149.9003000	21	3.1.3.1.4.3.2.3.3.2.4.4.3.1.4.1.2.3.1.4.1
mcmurdo	-77.8419000	166.6863000	1	17
mcmurdo	-77.8419000	166.6863000	2	17.2
mcmurdo	-77.8419000	166.6863000	5	17.2.1.2.4
mcmurdo	-77.8419000	166.6863000	10	17.2.1.2.4.4.4.3.1.1
mcmurdo	-77.8419000	166.6863000	15	17.2.1.2.4.4.4.3.1.1.3.2.2.4.3
mcmurdo	-77.8419000	166.6863000	21	17.2.1.2.4.4.4.3.1.1.3.2.2.4.3.1.3.4.4.4.3
longyearbyen	78.2232000	15.6267000	1	1
